Software_Category;Software_CategoryLabel;num_software;subclass of 
http://www.wikidata.org/entity/Q188860;software library;806;software package , programming tool, software component
http://www.wikidata.org/entity/Q1165116;Perl module;4;software package, software component 
http://www.wikidata.org/entity/Q2276335;graphics suite;1;software suite
http://www.wikidata.org/entity/Q176165;database management system;104;software system, (part of database)
http://www.wikidata.org/entity/Q1760545;XML editor;21;software, editor
http://www.wikidata.org/entity/Q70191115;stalkerware;0;spyware
http://www.wikidata.org/entity/Q93249;antivirus software;91;subclass of : computer security software
http://www.wikidata.org/entity/Q1193246;widget toolkit;84;subclass of : graphics library , use: GUI
http://www.wikidata.org/entity/Q15548076;computer-aided design software;92;subclass of : graphics software, industrial software, application, editor
http://www.wikidata.org/entity/Q1077784;programming tool;83;subclass of : utility software
http://www.wikidata.org/entity/Q24966456;Video management system;0;surveillance software
http://www.wikidata.org/entity/Q9135;operating system;1083;system software
http://www.wikidata.org/entity/Q146768;middleware;26;system software
http://www.wikidata.org/entity/Q312466;utility software;290;system software , computer program
http://www.wikidata.org/entity/Q1033951;device driver;35;system software , driver
http://www.wikidata.org/entity/Q14645;rootkit;21;system software , malware
http://www.wikidata.org/entity/Q2164323;documentation generator;24;technical communication tool , programming tool
http://www.wikidata.org/entity/Q17167101;TeX editor;8;text editor
http://www.wikidata.org/entity/Q184900;line editor;5;text editor
http://www.wikidata.org/entity/Q522972;source code editor;19;text editor, programming tool
http://www.wikidata.org/entity/Q4839801;backup software;45;utility software
http://www.wikidata.org/entity/Q25303924;file archiver;39;utility software
http://www.wikidata.org/entity/Q1281199;password manager;34;utility software
http://www.wikidata.org/entity/Q565428;download manager;32;utility software
http://www.wikidata.org/entity/Q2164499;optical disc authoring software;28;utility software
http://www.wikidata.org/entity/Q870898;computer security software;26;utility software
http://www.wikidata.org/entity/Q13224353;monitoring application;13;utility software
http://www.wikidata.org/entity/Q15548044;application launcher;12;utility software
http://www.wikidata.org/entity/Q3248226;partition editor;11;utility software
http://www.wikidata.org/entity/Q1464880;installer;7;utility software
http://www.wikidata.org/entity/Q7001229;network utility;6;utility software
http://www.wikidata.org/entity/Q28964688;data recovery software;5;utility software
http://www.wikidata.org/entity/Q753486;screensaver;3;utility software
http://www.wikidata.org/entity/Q15478230;data synchronization software;3;utility software
http://www.wikidata.org/entity/Q91348108;daemon-managing daemon;3;utility software
http://www.wikidata.org/entity/Q7246032;privacy software;2;utility software
http://www.wikidata.org/entity/Q309396;keystroke logging;1;utility software
http://www.wikidata.org/entity/Q5282305;disk cleaner;1;utility software
http://www.wikidata.org/entity/Q3006107;portable application creator;0;utility software
http://www.wikidata.org/entity/Q877886;compression software;43;utility software  ( use: data compression)
http://www.wikidata.org/entity/Q54366;packet analyzer;15;utility software , ( in the literature:  Data , recording /Collection software )
http://www.wikidata.org/entity/Q747948;hex editor;12;utility software , editor
http://www.wikidata.org/entity/Q212474;font editor;6;vector graphics editor
http://www.wikidata.org/entity/Q29032808;software configuration manager;2;version control system
http://www.wikidata.org/entity/Q5156020;video conversion software;2;video codec
http://www.wikidata.org/entity/Q5156780;Compositing software;5;video editing software
http://www.wikidata.org/entity/Q60345396;screencasting software;0;video software
http://www.wikidata.org/entity/Q1373429;video editing software;114;video software, editor, ( used for video editing)
http://www.wikidata.org/entity/Q2092884;tiling window manager;15;window manager
http://www.wikidata.org/entity/Q7439078;screenwriting software;11;word processor
